Property,Available?,Price,Fenced yard,Public Utilities,Close to Grocery,Close to Restaurants,Distance to Station,Additional Comments,Parking,Image
https://www.akiya-mart.com/listing/11073271?currency=usd&is-metric=false,yes,"$63,790",yes,"city gas, water, sewage, gutters, and snowmelt pipes",11 min to supermarket,~10 within 10-15 min,840 ft to Kitayoshida Station (4min),Large but overgrown garden,Garage,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/11073271/images/15c12405144f5534db0fc1ec50eaee27_640_360.jpeg
https://www.akiya-mart.com/listing/166224540?currency=usd&is-metric=false,,"$13,018",yes,"Public water supply, main sewerage, city gas",5 min to supermarket,~20 within 10-15 min,0.2 mi to Kamo Station (7min),Needs full renovation,Garage,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/166224540/images/ad4bef7baebe8ba137aad7aff186bfc9_1000_750.jpeg
https://myhome.nifty.com/chuko-ikkodate/niigata/kamoshi_ct/suumof_75735358/,,"$13,015",no,"Public water supply, main sewerage, city gas",5 min to supermarket,~20 within 10-15 min,10min to Kamo Station,Needs full renovation,Parking space,https://img01.suumo.com/front/gazo/bukken/040/N010000/img/358/75735358/75735358_0008.jpg
https://www.akiya-mart.com/listing/166225290?currency=usd&is-metric=false,,"$58,571",yes (low),"Public water supply, main sewerage, city gas",10min to supermarket,~15 within 10 min,0.3 mi to Kamo Station (9min),Decent shape - 2 toilets (one urinal),Garage,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/166225290/images/6655318032733657c9e8844b060c7668_825_675.jpeg
https://www.akiya-mart.com/listing/166225110?currency=usd&is-metric=false,,"$45,555",yes,"Public water supply, main sewerage, city gas",9min to supermarket,~18 within 10 min,0.5 mi to Kamo Station (15min),Might need full renovation? Big lot,Garage,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/166225110/images/dfe19784fe480a9732ea1fb648b0dd37_640_480.jpeg
https://www.akiya-mart.com/listing/207528722?currency=usd&is-metric=false,,"$63,952",not sure,"Public water supply, main sewerage, city gas",3min to supermarket,~20 within 10-15 min,0.4 mi to Kamo Station (13min),Decent shape,Covered space,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/207528722/images/126fe8ca4b54a4a717f72535dd87dea8_500_375.jpeg
https://www.akiya-mart.com/listing/159091722?currency=usd&is-metric=false,,"$26,103",not sure,"Public water supply, main sewerage, city gas",2min to supermarket,~9 within 15min,0.6 mi to Small Needle Station (19min),At the beach - needs reno - yard's a mess,Parking space?,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/159091722/images/7a568820ddb755b9679f2d9c3fb2979b_500_375.jpeg
https://www.akiya-mart.com/listing/178882943?currency=usd&is-metric=false,,"$39,154",yes?,"water supply, sewerage, city gas, electricity, drainage",12min to supermarket,~10 within 10-15 min,0.2 mi to Echigo Sone Station (10min),Okay condition (?) - needs a front gate,Garage,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/178882943/images/a2ecb586e116e0158565d1349f45997f_640_449.jpeg
https://www.akiya-mart.com/listing/159091747?currency=usd&is-metric=false,yes,"$31,340",yes,"Public water supply, main sewerage, city gas",14min to supermarket,~10 within 10-15 min,0.6 mi to Old Tsu Station (14min),No interior pictures,Not sure,https://akiya-mart-tasks-pullzone.b-cdn.net/prod/listings/159091747/images/e5786600e7f2a38aa639d235b4b68944_500_375.jpeg
,,,,,,,,,,
View properties at https://mandy6720.github.io/japan-houses/,,,,,,,,,,